id,name,hometown,given_name,family_name,nationality,team_id,team_name,team_abbr,headshot,number,role
5865,KSF,"Puyallup, WA",Kyle,Frandanisa,US,4405,Los Angeles Valiant,VAL,https://bnetcmsus-a.akamaihd.net/cms/gallery/FDHS3GHI2JY31549580254953.png,27,offense
8747,Stitch,Gyeonggi-do,Chunghee,Lee,KR,7696,Vancouver Titans,VAN,https://bnetcmsus-a.akamaihd.net/cms/gallery/C5X26VICVMX11550108386581.png,22,offense
8724,Rio,Seoul,Seungpyo,Oh,KR,7699,Guangzhou Charge,GZC,https://bnetcmsus-a.akamaihd.net/cms/gallery/2DHWSAFZGKRN1550196308076.png,14,tank
8790,Krillin,Seoul,Young Hoon,Jeong,KR,4410,London Spitfire,LDN,https://bnetcmsus-a.akamaihd.net/cms/gallery/7ZOAR8M4RUVA1549580262046.png,11,support
8203,Fusions,London,Cameron,Bosworth,GB,4402,Boston Uprising,BOS,https://bnetcmsus-a.akamaihd.net/cms/gallery/3D75DJ4UA3MC1550194306157.png,25,tank
8713,GodsB,Ansung,Kyeong Bo,Kim,KR,7693,Hangzhou Spark,HZS,https://bnetcmsus-a.akamaihd.net/cms/gallery/CEKEL31G9X8R1549580705374.png,10,offense
8893,diem,Busan,Min Sung,Bae,KR,4408,Shanghai Dragons,SHD,https://bnetcmsus-a.akamaihd.net/cms/gallery/28F2GFKQKS8S1549652308197.png,21,offense
9155,SASIN,Seoul,SangHyun,Song,KR,7693,Hangzhou Spark,HZS,https://bnetcmsus-a.akamaihd.net/cms/gallery/8Q6SLMOX8HHJ1555459285295.png,20,offense
9424,Highly,Seoul,SungHyuk,Lee,KR,4410,London Spitfire,LDN,https://bnetcmsus-a.akamaihd.net/cms/page_media/S02042JXNHF81515718127993.png,10,support
4105,ryujehong,Incheon,Jehong,Ryu,KR,7696,Vancouver Titans,VAN,https://bnetcmsus-a.akamaihd.net/cms/page_media/S02042JXNHF81515718127993.png,6,support
3985,aKm,Angoulême,Dylan,Bignet,FR,4523,Dallas Fuel,DAL,https://bnetcmsus-a.akamaihd.net/cms/gallery/IZD5FOGR2KUW1549664649019.png,10,offense
4645,Hydration,Monte Claros,João Pedro,Goes Telles,BR,4525,Houston Outlaws,HOU,https://bnetcmsus-a.akamaihd.net/cms/page_media/S02042JXNHF81515718127993.png,99,offense
3983,uNKOE,Nevers,Benjamin,Chevasson,FR,4523,Dallas Fuel,DAL,https://bnetcmsus-a.akamaihd.net/cms/gallery/OQ3P1HR9TB6T1549664649484.png,24,support
8694,Greyy,Barcelos,Luís,Perestrelo,PT,7694,Paris Eternal,PAR,https://bnetcmsus-a.akamaihd.net/cms/gallery/TSNNUH7EW7TP1549652245348.png,47,support
