index,id,name,hometown,given_name,family_name,nationality,season,team_id,team_name,team_abbr,headshot,number,role,active
10198,4628,Mendokusaii,Spånga,Lucas,Håkansson,SE,2018,4525,Houston Outlaws,HOU,https://bnetcmsus-a.akamaihd.net/cms/page_media/56GKIKO2Q0E41512616495373.png,12,offense,Inactive
10257,4613,Avast,"Colleyville, TX",Connor,Prince,US,2018,4402,Boston Uprising,BOS,https://bnetcmsus-a.akamaihd.net/cms/page_media/QXCMYNUTGPRL1512769819625.png,13,support,Inactive
10269,4611,Kalios,Dangjin City,Woo-yeol,Shin,KR,2018,4402,Boston Uprising,BOS,https://bnetcmsus-a.akamaihd.net/cms/page_media/DPNHA5GMIH3J1512769819813.png,18,tank,Inactive
10299,4630,Grimreality,"Chico, CA",Christopher,Schaefer,US,2018,4405,Los Angeles Valiant,VAL,https://bnetcmsus-a.akamaihd.net/cms/page_media/4HL7NR9URCMU1512776701054.png,0,offense,Inactive
10311,3663,Numlocked,Leamington Spa,Sebastian,Barton,GB,2018,4405,Los Angeles Valiant,VAL,https://bnetcmsus-a.akamaihd.net/cms/page_media/H4XYM23GR1061512776701073.png,6,tank,Inactive
10369,4143,xQc,"Laval, Quebec",Félix,Lengyel,CA,2018,4523,Dallas Fuel,DAL,https://bnetcmsus-a.akamaihd.net/cms/page_media/L3FTUO71FAMM1539928137498.png,12,tank,Inactive
11330,4025,dhaK,Gijón,Daniel,Martinez Paz,ES,2018,4404,San Francisco Shock,SFS,https://bnetcmsus-a.akamaihd.net/cms/page_media/4Q3H9T4BPAR21512777246918.png,10,support,Inactive
11380,4000,Undead,Zhejiang,Chao,Fang,CN,2018,4408,Shanghai Dragons,SHD,https://bnetcmsus-a.akamaihd.net/cms/page_media/1KD69B4YVFP81515621286543.png,21,offense,Inactive
11887,4492,Nomy,Tijuana,David,Lizarraga Ramirez Osmar,MX,2018,4404,San Francisco Shock,SFS,https://bnetcmsus-a.akamaihd.net/cms/page_media/NFY3Y5MRRO951512777247574.png,7,tank,Inactive
11939,4412,Miro,DaeJeon,Jin-Hyuk,Gong ,KR,2018,4409,Seoul Dynasty,SEO,https://bnetcmsus-a.akamaihd.net/cms/page_media/LTXC1UP8RPNW1512770128083.png,3,tank,Inactive
12038,4001,MG,Guangdong,Dong jian,Wu,CN,2018,4408,Shanghai Dragons,SHD,https://bnetcmsus-a.akamaihd.net/cms/page_media/mf/MFLQTBNY2LX11513192329151.png,72,tank,Inactive
12039,4617,Xushu,Hunan,Junjie,Liu,CN,2018,4408,Shanghai Dragons,SHD,https://bnetcmsus-a.akamaihd.net/cms/page_media/PBWFKWMQ5A861512685931434.png,66,tank,Inactive
12088,4125,Chipshajen,Götene,Sebastian,Widlund,SE,2018,4523,Dallas Fuel,DAL,https://bnetcmsus-a.akamaihd.net/cms/page_media/NSLR4T063K361512685112947.png,4,support,Inactive
12096,4665,WooHyaL,Suwon,Seung-Hyun,Seong,KR,2018,4410,London Spitfire,LDN,https://bnetcmsus-a.akamaihd.net/cms/page_media/9J5YW9MTH58G1512776037751.png,10,flex,Inactive
12139,4633,Verbo,Toronto,Stefano,Disalvo,CA,2018,4405,Los Angeles Valiant,VAL,https://bnetcmsus-a.akamaihd.net/cms/page_media/GB1BRHQZ4CLL1512776701508.png,13,support,Inactive
12195,4605,DreamKazper,"Hemet, CA",Jonathan,Sanchez,US,2018,4402,Boston Uprising,BOS,https://bnetcmsus-a.akamaihd.net/cms/page_media/QBAODIONXUU31512769819622.png,28,offense,Inactive
12404,4126,Manneten,Karlstad,Tim,Bylund,SE,2018,4407,Florida Mayhem,FLA,https://bnetcmsus-a.akamaihd.net/cms/gallery/ZKJLT2D5ZJ3B1531244894559.png,9,flex,Inactive
12407,5443,SNT,Incheon,Sung-Hoon,Kim,KR,2018,4407,Florida Mayhem,FLA,https://bnetcmsus-a.akamaihd.net/cms/gallery/TE1XRBQPWIDU1549664655013.png,13,tank,Inactive
