guid,id_string,name,mode_id,mode_name
0x080000000000005B,temple-of-anubis,TEMPLE OF ANUBIS,0x0230000000000014,Assault
0x08000000000000D4,kings-row,KING'S ROW,0x0230000000000016,Hybrid
0x0800000000000165,hanamura,HANAMURA,0x0230000000000014,Assault
0x0800000000000184,gibraltar,WATCHPOINT: GIBRALTAR,0x0230000000000015,Payload
0x08000000000001D4,numbani,NUMBANI,0x0230000000000016,Hybrid
0x08000000000001DB,volskaya,VOLSKAYA INDUSTRIES,0x0230000000000014,Assault
0x08000000000002AF,hollywood,Hollywood,0x0230000000000016,Hybrid
0x08000000000002C3,dorado,DORADO,0x0230000000000015,Payload
0x08000000000004B7,nepal,Nepal,0x0230000000000017,Control
0x08000000000005BB,route-66,Route 66,0x0230000000000015,Payload
0x0800000000000662,lijiang,Lijiang Tower,0x0230000000000017,Control
0x080000000000066D,ilios,Ilios,0x0230000000000017,Control
0x080000000000068D,eichenwalde,Eichenwalde,0x0230000000000016,Hybrid
0x080000000000069E,oasis,Oasis,0x0230000000000017,Control
0x08000000000006D3,horizon-lunar-colony,Horizon Lunar Colony,0x0230000000000014,Assault
0x0800000000000756,junkertown,Junkertown,0x0230000000000015,Payload
0x080000000000075E,blizzard-world,Blizzard World,0x0230000000000016,Hybrid
0x08000000000007E2,busan,Busan,0x0230000000000017,Control
0x0800000000000871,rialto,Rialto,0x0230000000000015,Payload
0x0800000000000891,paris,Paris,0x0230000000000014,Assault
0x0800000000000A44,Havana,Havana,0x0230000000000015,Payload
