match_id,date,season,stage_id,stage_name,week_id,week_name,tournament_id,tournament_name,status,team_a_id,team_a_name,team_a_abbr,team_a_score,team_b_id,team_b_name,team_b_abbr,team_b_score,winner_id,winner_name,winner_abbr
10223,01/11/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4404,San Francisco Shock,SFS,0,4405,Los Angeles Valiant,VAL,4,4405,Los Angeles Valiant,VAL
10224,01/11/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4408,Shanghai Dragons,SHD,0,4406,Los Angeles Gladiators,GLA,4,4406,Los Angeles Gladiators,GLA
10225,01/11/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4523,Dallas Fuel,DAL,1,4409,Seoul Dynasty,SEO,2,4409,Seoul Dynasty,SEO
10226,01/11/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4410,London Spitfire,LDN,3,4407,Florida Mayhem,FLA,1,4410,London Spitfire,LDN
10227,01/11/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4524,Philadelphia Fusion,PHI,3,4525,Houston Outlaws,HOU,2,4524,Philadelphia Fusion,PHI
10228,01/12/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4402,Boston Uprising,BOS,1,4403,New York Excelsior,NYE,3,4403,New York Excelsior,NYE
10229,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4405,Los Angeles Valiant,VAL,3,4523,Dallas Fuel,DAL,0,4405,Los Angeles Valiant,VAL
10230,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4407,Florida Mayhem,FLA,0,4402,Boston Uprising,BOS,4,4402,Boston Uprising,BOS
10231,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4404,San Francisco Shock,SFS,3,4408,Shanghai Dragons,SHD,1,4404,San Francisco Shock,SFS
10232,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4410,London Spitfire,LDN,4,4524,Philadelphia Fusion,PHI,0,4410,London Spitfire,LDN
10233,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4403,New York Excelsior,NYE,3,4525,Houston Outlaws,HOU,1,4403,New York Excelsior,NYE
10234,01/13/2018,2018,1,stage1,0,Week 1,3829,Overwatch League - Stage 1,CONCLUDED,4409,Seoul Dynasty,SEO,4,4406,Los Angeles Gladiators,GLA,0,4409,Seoul Dynasty,SEO
10235,01/18/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4404,San Francisco Shock,SFS,1,4524,Philadelphia Fusion,PHI,2,4524,Philadelphia Fusion,PHI
10236,01/18/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4407,Florida Mayhem,FLA,0,4409,Seoul Dynasty,SEO,4,4409,Seoul Dynasty,SEO
10237,01/18/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4525,Houston Outlaws,HOU,4,4408,Shanghai Dragons,SHD,0,4525,Houston Outlaws,HOU
10238,01/18/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4523,Dallas Fuel,DAL,0,4525,Houston Outlaws,HOU,4,4525,Houston Outlaws,HOU
10239,01/18/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4403,New York Excelsior,NYE,3,4405,Los Angeles Valiant,VAL,0,4403,New York Excelsior,NYE
10240,01/19/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4524,Philadelphia Fusion,PHI,2,4406,Los Angeles Gladiators,GLA,3,4406,Los Angeles Gladiators,GLA
10241,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4409,Seoul Dynasty,SEO,4,4402,Boston Uprising,BOS,0,4409,Seoul Dynasty,SEO
10242,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4408,Shanghai Dragons,SHD,0,4407,Florida Mayhem,FLA,4,4407,Florida Mayhem,FLA
10243,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4410,London Spitfire,LDN,3,4523,Dallas Fuel,DAL,1,4410,London Spitfire,LDN
10244,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4405,Los Angeles Valiant,VAL,2,4410,London Spitfire,LDN,3,4410,London Spitfire,LDN
10245,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4406,Los Angeles Gladiators,GLA,0,4403,New York Excelsior,NYE,4,4403,New York Excelsior,NYE
10246,01/20/2018,2018,1,stage1,1,Week 2,3829,Overwatch League - Stage 1,CONCLUDED,4402,Boston Uprising,BOS,2,4404,San Francisco Shock,SFS,3,4404,San Francisco Shock,SFS
10247,01/25/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4404,San Francisco Shock,SFS,1,4410,London Spitfire,LDN,3,4410,London Spitfire,LDN
10248,01/25/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4408,Shanghai Dragons,SHD,1,4409,Seoul Dynasty,SEO,3,4409,Seoul Dynasty,SEO
10249,01/25/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4406,Los Angeles Gladiators,GLA,2,4405,Los Angeles Valiant,VAL,3,4405,Los Angeles Valiant,VAL
10250,01/25/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4402,Boston Uprising,BOS,3,4410,London Spitfire,LDN,2,4402,Boston Uprising,BOS
10251,01/26/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4524,Philadelphia Fusion,PHI,3,4403,New York Excelsior,NYE,2,4524,Philadelphia Fusion,PHI
10252,01/26/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4525,Houston Outlaws,HOU,4,4407,Florida Mayhem,FLA,0,4525,Houston Outlaws,HOU
10253,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4409,Seoul Dynasty,SEO,2,4403,New York Excelsior,NYE,3,4403,New York Excelsior,NYE
10254,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4408,Shanghai Dragons,SHD,2,4524,Philadelphia Fusion,PHI,3,4524,Philadelphia Fusion,PHI
10255,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4523,Dallas Fuel,DAL,3,4404,San Francisco Shock,SFS,0,4523,Dallas Fuel,DAL
10256,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4523,Dallas Fuel,DAL,2,4402,Boston Uprising,BOS,3,4402,Boston Uprising,BOS
10257,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4405,Los Angeles Valiant,VAL,3,4407,Florida Mayhem,FLA,1,4405,Los Angeles Valiant,VAL
10258,01/27/2018,2018,1,stage1,2,Week 3,3829,Overwatch League - Stage 1,CONCLUDED,4406,Los Angeles Gladiators,GLA,0,4525,Houston Outlaws,HOU,4,4525,Houston Outlaws,HOU
10259,02/01/2018,2018,1,stage1,3,Week 4,3829,Overwatch League - Stage 1,CONCLUDED,4405,Los Angeles Valiant,VAL,4,4524,Philadelphia Fusion,PHI,0,4405,Los Angeles Valiant,VAL
