id,name,abbr_name,division_id,location,color_primary,color_secondary,logo_main,logo_alt,logo_main_name,logo_alt_dark
4523,Dallas Fuel,DAL,80,"Dallas, TX",#032340,#0072CE,https://bnetcmsus-a.akamaihd.net/cms/template_resource/YX6JZ6FR89LU1507822882865.svg,,https://bnetcmsus-a.akamaihd.net/cms/page_media/Q8TMKNUFIJL51519747890664.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/LLMV1UTBVHN11544055825034.svg
4524,Philadelphia Fusion,PHI,79,"Philadelphia, PA",#000000,#DCDCDC,https://bnetcmsus-a.akamaihd.net/cms/template_resource/LAKZ6R7QEG6S1507822883033.svg,https://bnetcmsus-a.akamaihd.net/cms/gallery/LO77CFOVQWS11544642971088.svg,https://bnetcmsus-a.akamaihd.net/cms/gallery/NHCAR82UZJUK1544642802896.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/52QPF1MPBXVX1544055975338.svg
4525,Houston Outlaws,HOU,79,"Houston, TX",#000000,#97D700,https://bnetcmsus-a.akamaihd.net/cms/gallery/BGP1O8PKAI091546557676638.svg,https://bnetcmsus-a.akamaihd.net/cms/gallery/ZZZ1WAZ79E3D1546557668570.svg,https://bnetcmsus-a.akamaihd.net/cms/gallery/6LPXHIRHCQTR1546557663345.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/MJLP7QICH5JP1544055906758.svg
4402,Boston Uprising,BOS,79,"Boston, MA",#174B97,#EFDF00,https://bnetcmsus-a.akamaihd.net/cms/page_media/W4FGQ24HKCB51513383982827.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/LB92M6PBO3X81515523733716.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/6L8FEHO4JUB51519747890656.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/LB92M6PBO3X81515523733716.svg
4403,New York Excelsior,NYE,79,"New York City, NY",#171C38,#0F57EA,https://bnetcmsus-a.akamaihd.net/cms/page_media/3PBR8VEYM8SH1517250447953.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/jz/JZHJUJ8QM1AP1508818097057.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/3FXYFS8XQC7C1519747890817.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/PTX7PFVTAAZS1544055952805.svg
4404,San Francisco Shock,SFS,80,"San Francisco, CA",#000000,#A5ACAF,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/bltb7f12a7f25e9e004/5e176405174b0d0c519bdec7/OWL_SFShock_Icon_1C_SILVER.svg,,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/blt380777242b9a5d52/5e1623736247d47ed4cb3454/OWL_SFShock_Logo_2020_onDark_SVG.svg,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/bltb7f12a7f25e9e004/5e176405174b0d0c519bdec7/OWL_SFShock_Icon_1C_SILVER.svg
4405,Los Angeles Valiant,VAL,80,"Los Angeles, CA",#1888C6,#FFD100,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/blt554552c3fb615a11/5e14d288a1690a59bc5f1e35/OWL_LAValiant_Icon_2020_SVG.svg,,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/bltbdd548e502286a9c/5e14d314a78c085a219a5fe6/OWL_LAValiant_Logo_2020_BLUE_SVG.svg,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/blt554552c3fb615a11/5e14d288a1690a59bc5f1e35/OWL_LAValiant_Icon_2020_SVG.svg
4406,Los Angeles Gladiators,GLA,80,"Los Angeles, CA",#3C1053,#000000,https://bnetcmsus-a.akamaihd.net/cms/template_resource/CHTRRZCBEYGN1507822882862.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/HU1A12H9JPNS1512520986367.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/92RXGEWTP0B11519747890766.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/NCT1WP6NKDFS1544055915971.svg
4407,Florida Mayhem,FLA,79,Florida,#000000,#CF4691,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/blt43c93d0207032d47/5e14d29ba78c085a219a5fe0/OWL_FloridaMayhem_Icon_2020.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/8G57V3BPG1MV1512520986448.svg,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/bltd4b8f2acd4abc196/5e14d2d0980c937e6d6451d8/OWL_FloridaMayhem_Logo_2020_BLACK_BKGD.svg,https://images.blz-contentstack.com/v3/assets/blt321317473c90505c/blt43c93d0207032d47/5e14d29ba78c085a219a5fe0/OWL_FloridaMayhem_Icon_2020.svg
4408,Shanghai Dragons,SHD,80,Shanghai,#D22630,#000000,https://bnetcmsus-a.akamaihd.net/cms/template_resource/ZIVUVIWXNIFL1507822883114.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/MHYBGBXKCBWW1512520986598.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/M703QHV3B6ZC1519747890887.svg,https://bnetcmsus-a.akamaihd.net/cms/page_media/CZQND87P06NN1544055996911.svg
